leagueId,tier,number
0003dc0a-d06f-4a0f-872f-bfcc4f526f90,IRON,21
0009901b-f9b9-40ec-9aaf-48b0ba0c2530,SILVER,183
000fa54e-619a-4289-b69e-961e0a0ee289,BRONZE,125
0012bcb9-e889-4f74-b390-96d486923c62,BRONZE,133
001375d3-0651-41ee-8dd5-534c7af1b492,IRON,126
002e942a-44ae-4000-9d94-e824ea1a8ece,BRONZE,71
00306a69-95af-413d-a793-94cb1611d0ef,SILVER,172
00363b65-756f-4a0f-ae94-e575a16a9c37,SILVER,180
0038809d-48e1-43f3-ae86-1523b3598e12,GOLD,193
003a821a-1024-4ab1-8155-0c7c202a2914,SILVER,171
003cf8d4-aa32-4b46-ace9-9139b3186e5c,SILVER,174
0044a04a-f054-458e-a2fa-c702728dedce,SILVER,94
004deb6c-1011-4766-b4e9-a703429d7d5d,SILVER,174
00513db6-a7c2-4847-a849-3b80d1eb9dc2,GOLD,189
005434fd-f2f4-4420-b0a3-84d45051d282,BRONZE,136
0054c3e2-fc61-4f26-b432-8a5d1a6a5cdf,SILVER,177
005f003b-cec3-47bb-bb0e-adb4ebb00f23,GOLD,157
005f9d44-c73b-4e9b-b153-465b2815a4c7,SILVER,148
0065ec4a-7792-478b-a71b-3d862cc55b97,BRONZE,112
00743e39-e19b-4f1d-8433-0e54a537ccd1,PLATINUM,137
0083282e-0aaf-4b97-acbd-bb5e2c4d5c62,SILVER,96
00893ffd-7dc2-4f00-a312-8c36431491eb,PLATINUM,193
008cc8a5-ead0-41f6-a5e1-96b6400e26c8,BRONZE,72
008e32a9-81dc-47ae-825f-06455e201fab,GOLD,191
0099a344-e247-4f42-a045-2f1f8755b87b,BRONZE,67
009dbd27-1465-4743-b486-8e66433fd198,SILVER,171
009f9f74-d0e4-40fd-832f-3660936358e6,SILVER,165
00a56440-243d-4588-8e38-6c6c2126ab77,IRON,17
00a98d5a-293a-47c8-8d77-9a94a7bdd2da,IRON,24
00b1ba5f-95d6-41c4-8f33-79e74030fc47,IRON,86
00b5a81a-bdd1-4106-83aa-b480bbf0dc54,SILVER,131
00b6acb6-6192-4457-8bb1-b3b387a3032f,SILVER,177
00b7af43-f90a-4095-8b06-84718626b2cf,IRON,68
00bf2869-d705-45f1-8aac-dbe02cf52c47,BRONZE,64
00c06e19-6fcd-4c94-8f81-bf1961a46340,BRONZE,125
00c4d8d8-004d-43f6-a576-ecb816b304ca,BRONZE,99
00d0871e-b89d-4910-b248-c4302d99a869,GOLD,115
00d2a3a6-dc13-4139-841c-2ebba64755b5,GOLD,188
00db3023-541b-4caa-af94-a594ab2cfe4d,SILVER,173
00de0030-651f-45d3-bd4d-f831be912214,GOLD,190
00ed0703-3e12-40bf-8875-10de90fc9f7f,PLATINUM,198
00f3e0ad-cbd6-4a1d-bf42-8256e4a10fdb,IRON,20
00f6889a-1faf-4086-b26f-d8567c1200b5,BRONZE,71
00f8ad96-56d6-4e8d-b396-ab609f3b1756,GOLD,124
00fdb790-d044-43fc-a895-afe5bca064cb,SILVER,183
010da9fa-8475-42b4-8b28-635a5f05f8c6,BRONZE,79
01157068-3042-4ad7-b155-86f41edd63ba,SILVER,177
0125c0c8-288b-42b8-a04a-f5b81a416616,SILVER,180
012cada9-7135-4826-b795-072b64631b37,GOLD,194
012e9f65-be28-410e-abe8-c527cabd4b41,IRON,64
0135eddb-790f-4cef-9426-26af7205263e,PLATINUM,192
013986a1-e549-4ec9-bb5e-13eed30e56d6,SILVER,180
013bce0d-8560-4614-85f6-985952255e7a,SILVER,180
013c8b8f-025f-4892-8a3d-01ce735de3b4,SILVER,175
0146205e-4737-40bb-b08d-51198fd8f552,GOLD,196
014a3622-5155-47f8-944f-403ba48c1b90,IRON,48
01552fba-6ed2-49d2-9e89-3ac0fd472156,BRONZE,130
01673c2b-8325-43a0-b602-e7b1361ba2e0,SILVER,183
01735605-bf1e-4dae-9607-d6060ae455db,IRON,35
0174c8a8-7ca6-4bf6-a4bc-edb175080d3b,BRONZE,67
017b55ad-7446-4f6c-92e8-8ace236fa593,IRON,22
017fce3c-96f6-468d-96e6-c924440c7036,SILVER,189
01829203-aedf-4713-b80f-a9f97e620256,IRON,16
018bc61e-cd10-47a9-814e-6bb638832f67,SILVER,98
018e0307-a4c7-4bd1-a8f8-d8eee8442b56,GOLD,185
019b654e-fac7-4c52-9ef4-093d97701af8,GOLD,186
01af7e9e-4739-41cc-9dba-19746ef303e5,SILVER,142
01b70f98-4795-4d89-9587-71002aea838c,BRONZE,80
01c67540-1389-4fd0-81f7-bf5dff05879c,BRONZE,115
01cb5b9e-6651-4591-8fe8-5b27b837cf6e,SILVER,180
01d85d30-0f74-41fc-9623-c5dbc72e076a,IRON,88
01db41d9-3d2e-4b65-8acb-750bcf932d4e,BRONZE,138
01dd0a7d-ad07-4373-8959-b3df4744d05d,BRONZE,131
01e9afa5-633d-4c17-852d-df754bf16762,IRON,25
01ea70db-bc9f-4d87-b5ef-6f853fb980c3,SILVER,89
01ee5ed5-fef5-4293-9a8a-5ee6ad2539a1,GOLD,194
01f17db7-71e1-420d-9d9b-acc52656f289,PLATINUM,195
01fe55b2-5166-4962-a0ec-6d11653328d9,IRON,20
020192f9-647b-4573-b204-676a80a2140d,GOLD,98
02067003-ca44-42c0-93b1-6a291cf819d0,PLATINUM,190
020b8fb4-b9a3-4c85-a891-edba614c25e4,SILVER,178
020cfabe-a08b-4b22-9229-ad36273ad7b3,SILVER,168
0210bc44-b727-4f31-b8e1-ccec54220c94,BRONZE,133
02187d32-4a0b-4769-90bd-7e6a1a432084,BRONZE,132
022da08c-b3c3-4172-9952-f32e1ce08f9b,PLATINUM,193
022eceba-5960-436d-99cb-a6039205fe6c,GOLD,177
0230fb80-aab0-443f-ab3d-def410985206,BRONZE,144
0237bd8a-daa8-4841-8fbe-9b18ecf691be,IRON,15
02393c61-91c2-42f7-bfb9-4d1497d16ab0,GOLD,187
023a52df-6a27-406f-b6c7-166752dd53a9,BRONZE,75
0255d9b2-3976-4798-a2c6-38e8dc26660c,IRON,60
0259cc3b-6c01-43e0-8090-b6497007669e,GOLD,192
0260613f-2828-4a5c-b08d-e3b797ac0e89,SILVER,186
